depository_accession,depository_source,species
E-MTAB-3574,AE,
E-MTAB-8721,AE,
E-MTAB-4323,AE,
E-MEXP-912,AE,
E-MEXP-161,AE,
E-MEXP-1822,AE,
E-MEXP-159,AE,
E-MEXP-164,AE,
E-MEXP-160,AE,
E-MEXP-158,AE,
E-MEXP-162,AE,
E-MEXP-1392,AE,
E-MEXP-163,AE,
E-MEXP-911,AE,
E-MEXP-2866,AE,
E-MEXP-1485,AE,
E-MEXP-3735,AE,
E-GEOD-39051,AE,
E-MEXP-1095,AE,
E-ATMX-36,AE,
E-ATMX-37,AE,
E-MEXP-1475,AE,
E-GEOD-14570,AE,
E-MEXP-3082,AE,
E-MTAB-1009,AE,
E-MEXP-77,AE,
E-MTAB-10518,AE,
E-GEOD-15446,AE,
E-GEOD-48676,AE,
E-GEOD-40388,AE,
E-GEOD-62799,AE,
E-ATMX-9,AE,
E-MEXP-505,AE,
E-MEXP-2166,AE,
E-GEOD-52487,AE,
E-GEOD-62801,AE,
E-GEOD-12212,AE,
E-GEOD-13114,AE,
E-MEXP-1084,AE,
E-GEOD-64356,AE,
E-GEOD-70290,AE,
E-MEXP-1049,AE,
E-MEXP-2968,AE,
E-MEXP-3768,AE,
E-NASC-22,AE,
E-MEXP-2969,AE,
E-MEXP-1268,AE,
E-GEOD-47632,AE,
E-CAGE-44,AE,
E-GEOD-11088,AE,
E-GEOD-46196,AE,
E-MEXP-1949,AE,
E-MEXP-1388,AE,
E-GEOD-32889,AE,
E-MEXP-1771,AE,
E-GEOD-24253,AE,
E-GEOD-22966,AE,
E-GEOD-42957,AE,
E-GEOD-13113,AE,
E-MEXP-1895,AE,
E-MEXP-449,AE,
E-GEOD-22352,AE,
E-MEXP-2499,AE,
E-MEXP-1770,AE,
E-GEOD-42642,AE,
E-GEOD-30547,AE,
E-MTAB-107,AE,
E-TIGR-3,AE,
E-TIGR-5,AE,
E-TIGR-4,AE,
E-MEXP-197,AE,
E-TIGR-22,AE,
E-TIGR-20,AE,
E-TIGR-21,AE,
E-TIGR-23,AE,
E-TIGR-120,AE,
